"manufacturer","jan","mpn","title","category","sub_category"
"日本エイサー","0000000057911","X223Wbd","X223Wbd ブラック","ディスプレイ","液晶"
"インテル","0000000074931","E1G42ET","PCI Expressバス DOS/V用 10/100/1000BASE-T","ネットワーク関連機器","LAN-C"
"ネットワークコンサルティング","0000000106332","IMW-C910W","Mobile Cube","携帯電話・PHS","データカード"
"Huawei Technologies","0000000107521","U8800","IDEOS X5","携帯電話・PHS","ケイタイ(スマートフォン)"
"NEC","0000000120911","PA-WM3800R(AT)","AtermWM3800R","携帯電話・PHS","データカード"
"不明","0000000121294","NIC-JP308","NIC-JP308","ネットワーク関連機器","LAN-C"
"CCP GAMES","0000000127057","EVE: THE SECOND DECADE COLLECTOR'S EDITION","EVE: The Second Decade Collector's Edition","PCゲームソフト","PCゲーム"
"インテル","0000000136599","7260.HMWG.R","Intel Dual Band Wireless-AC 7260","ネットワーク関連機器","ムセンLAN"
"ZTE","0000000137711","g01","g01","携帯電話・PHS","ケイタイ(スマートフォン)"
"ZTE","0000000137713","g02","g02","携帯電話・PHS","ケイタイ(スマートフォン)"
"ZTE","0000000137715","g03","g03","携帯電話・PHS","ケイタイ(スマートフォン)"
"オンキヨー&パイオニア","0000001047093","PDP-507CMX-JP","業務用50V型プラズマディスプレイ","薄型テレビ","プラズマテレビ"
"ノーリツ","0000001054026","YTV-1201SD-RC","DECAZO","薄型テレビ","液晶テレビ"
"ケイアイシー","0000005293189","KPR-80","モバイルスクリーン フロアタイプ","プロジェクター関連","スクリーン"
"HP","0000005295482","AF456A","UPS T750 G2","ネットワーク関連機器","UPS"
"デル","0000005301888","U2410","デルU2410","ディスプレイ","液晶"
"富士通","0000005315132","SH1508ATC","8ポート 10/100/1000BASE-T","ネットワーク関連機器","HUB"
"シャープ","0000005322259","PN-E602","インフォメーションディスプレイ","ディスプレイ","液晶"
"HP","0000005329294","C5J30PA-AAAA","HP Pavilion Sleekbook 14-b002AU","パソコン","NB"
"HP","0000005330025","C5J31PA-AAAA","HP Pavilion Sleekbook 14-b003AU","パソコン","NB"
"HP","0000005330857","C5H56PA-AAAA","HP Pavilion dm1-4301AU","パソコン","NB"
"東芝","0000008046095","J-T010","J-T010","携帯電話・PHS","ケイタイ"
"パナソニック モバイルコミュニケーションズ","0000008602814","P-01C","P-01C","携帯電話・PHS","ケイタイ"
"シャープ","0000008603924","SH-07C","ブックリーダー SH-07C","パソコン","タブレット端末"
"シャープ","0000008603977","004SH","THE PREMIUM7 WATERPROOF","携帯電話・PHS","ケイタイ"
"富士通","0000008606976","F-09C","F-09C","携帯電話・PHS","ケイタイ"
"ソニーモバイルコミュニケーションズ","0000008607407","S007","S007","携帯電話・PHS","ケイタイ"
"京セラ","0000008724011","W65K","W65K","携帯電話・PHS","ケイタイ"
"NEC","0000008774115","N-07A","SPORTS EDITION","携帯電話・PHS","ケイタイ"
"東芝","0000008775538","T003","T003","携帯電話・PHS","ケイタイ"
"カシオ","0000008775593","CA003","EXILIMケータイ","携帯電話・PHS","ケイタイ"
"リコー","0004201031244","PJX3130","IPSiO PJ X3130","プロジェクター関連","プロジェクター"
"東芝","0004201312667","PB552HFB1R7H7W","dynabook Satellite B552","パソコン","NB"
"東芝","0004201312702","PB452HNB1R7H7W","dynabook Satellite B452","パソコン","NB"
"東芝","0004201317135","PB553JFB1R7HA71","dynabook Satellite B553","パソコン","NB"
"東芝","0004201317136","PB553JBB1R7HA71","dynabook Satellite B553","パソコン","NB"
"東芝","0004201317142","PB553JBB1R7AA71","dynabook Satellite B553","パソコン","NB"
"レノボ・ジャパン","0004201319173","2324A2J","ThinkPad X230","パソコン","NB"
"UBIソフト","0008888693406","BIA HELLS HIGHWAY LE US","Brothers in Arms: Hell's Highway Limited Edition (US)","PCゲームソフト","PCゲーム"
"オンキヨー&パイオニア","0012562898841","DV-310-K","DVDプレーヤー ブラック","DVD・HDDデッキ","DVDプレーヤー"
"オンキヨー&パイオニア","0012562957845","DV-420V-K","DVD Player ブラック","DVD・HDDデッキ","DVDプレーヤー"
"オンキヨー&パイオニア","0012562958163","DV-120K-K","DVDプレーヤー","DVD・HDDデッキ","DVDプレーヤー"
"オンキヨー&パイオニア","0012562971384","DV-320-K","DVDプレーヤー ブラック","DVD・HDDデッキ","DVDプレーヤー"
"カプコン","0013388310593","DARK VOID US","Dark Void(US)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633153668","SIMS2 H&M FASHION STUFF E","The Sims 2 H&M Fashion Stuff(E)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633159813","MASS EFFECT 2 US","Mass Effect 2 (US)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633168563","THE SIMS 2 FUN WITH PETS COLLECTION E","The Sims 2 Fun with Pets Collection(E)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633190946","DRAGON AGE ORIGINS US","Dragon Age Origins(US)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633193985","DAO AWAKENING ASIA","Dragon Age Origins Awakening(ASIA)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633194531","THE SIMS 3 AMBITIONS EX US","The Sims 3 Ambitions Expansion Pack(US)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633194999","DRAGON AGE 2 ASIA","Dragon Age II(ASIA)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633195835","MASS EFFECT 3 ASIA","Mass Effect 3(ASIA)","PCゲームソフト","PCゲーム"
"エレクトロニック・アーツ","0014633732306","THE SIMS 4 PREMIUM EDITION","The Sims 4 Premium Edition","PCゲームソフト","PCゲーム"
"輸入品","0020626723053","WORLD OF WARCRAFT","World of Warcraft(E)","PCゲームソフト","PCゲーム"
"Vivendi Universal games","0020626723350","SCARFACE E","Scarface The World Is Yours(E)","PCゲームソフト","PCゲーム"
"Blizzard","0020626728515","DIABLO III STANDARD EDITION US","Diablo III Standard Edition(US)","PCゲームソフト","PCゲーム"
"Blizzard","0020626728539","WORLD OF WARCRAFT MISTS OF PANDARIA US","World of Warcraft Mists of Pandaria(US)","PCゲームソフト","PCゲーム"
"Blizzard","0020626728546","WORLD OF WARCRAFT MISTS OF PANDARIA COLLECTOR'S EDITION US","World of Warcraft Mists of Pandaria Collector's Edition(US)","PCゲームソフト","PCゲーム"
"Blizzard","0020626728553","STARCRAFT II HEART OF THE SWARME US","StarCraft II Heart of the Swarme(US)","PCゲームソフト","PCゲーム"
"Blizzard","0020626729147","DIABLO III REAPER OF SOULS COLLECTOR'S EDITION US","Diablo III Reaper of Souls Collector's Edition(US)","PCゲームソフト","PCゲーム"
"Blizzard","0020626729154","DIABLO III REAPER OF SOULS US","Diablo III Reaper of Souls(US)","PCゲームソフト","PCゲーム"
"Blizzard","0020626862899","Diablo III(E)","Diablo III(E)","PCゲームソフト","PCゲーム"
"Blizzard","0020626863445","DIABLO III REAPER OF SOULS BLIZZARD ENTERTAINMENT E","Diablo III Reaper of Souls Blizzard Entertainment(E)","PCゲームソフト","PCゲーム"
"Elite Screens","0021112578775","M84NWV-SRM","Manual SRM 84inch","プロジェクター関連","スクリーン"
"Lucas Arts Entertainment","0023272008222","STAR WARS CLONE WARS ASIA","Star Wars The Clone Wars Republic Heroes(ASIA)","PCゲームソフト","PCゲーム"
"Lucas Arts Entertainment","0023272339180","LEGO INDIANA JONES2 US","LEGO Indiana Jones 2 The Adventure Continues(US)","PCゲームソフト","PCゲーム"
"StarTech","0023942435860","ST100S","PCI-Xバス 汎用 10/100BASE-TX","ネットワーク関連機器","LAN-C"
"GARMIN","0041114470426","010-10680-50","City Navigator Europe NT","カーナビ","カーナビソフト"
"ディズニー","0044702010233","SPLIT SECOND US","SPLIT/SECOND(US)","PCゲームソフト","PCゲーム"
"ディズニー","0044702023110","PURE US","PURE(US)","PCゲームソフト","PCゲーム"
"アクティビジョン","0047875332713","X-MEN ORIGINS UNCAGE ASIA","X-Men Origins Wolverine Uncaged Edition (ASIA)","PCゲームソフト","PCゲーム"
"アクティビジョン","0047875332911","TRANSFORMERS REVENGE US","Transformers: Revenge of the Fallen(US)","PCゲームソフト","PCゲーム"
